Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type
2019-01-01,New Year's Day,New Year's Day,NI,True,True,,Public
2019-02-01,Air Force Day,Air Force Day,NI,True,True,,Public
2019-04-04,Holy Thursday,Holy Thursday,NI,False,True,,Public
2019-05-01,Labour Day,Labour Day,NI,True,True,,Public
2019-05-27,Army Day,Army Day,NI,True,True,,Public
2019-07-19,Liberation Day,Liberation Day,NI,True,True,,Public
2019-09-14,Battle of San Jacinto,Battle of San Jacinto,NI,True,True,,Public
2019-09-15,Independence Day,Independence Day,NI,True,True,,Public
2019-10-12,Indigenous Resistance Day,Indigenous Resistance Day,NI,True,True,,Public
2019-12-08,Immaculate Conception,Immaculate Conception,NI,True,True,,Public
2019-12-25,Christmas Day,Christmas Day,NI,True,True,,Public
2019-12-31,New Year's Eve,New Year's Eve,NI,True,True,,Public
